ano_modelo,name,code_marca,code_modelos
2018-1,2018 Gasolina,6,8228
2019-1,2019 Gasolina,6,8769
2017-1,2017 Gasolina,6,7537
2016-1,2016 Gasolina,6,7537
2018-1,2018 Gasolina,6,8229
2022-1,2022 Gasolina,6,9223
2021-1,2021 Gasolina,6,9223
32000-1,32000 Gasolina,6,9894
2023-1,2023 Gasolina,6,9894
2022-1,2022 Gasolina,6,9894
2021-1,2021 Gasolina,6,9894
2019-1,2019 Gasolina,6,9894
2022-1,2022 Gasolina,6,8771
2021-1,2021 Gasolina,6,8771
2019-1,2019 Gasolina,6,8771
32000-1,32000 Gasolina,6,9824
2023-1,2023 Gasolina,6,9824
2022-1,2022 Gasolina,6,9824
2009-1,2009 Gasolina,6,4798
2011-1,2011 Gasolina,6,5126
2010-1,2010 Gasolina,6,5126
2018-1,2018 Gasolina,6,7999
2018-1,2018 Gasolina,6,8000
2018-1,2018 Gasolina,6,8001
2018-1,2018 Gasolina,6,8002
2016-1,2016 Gasolina,6,6082
2015-1,2015 Gasolina,6,6082
2014-1,2014 Gasolina,6,6082
2013-1,2013 Gasolina,6,6082
2012-1,2012 Gasolina,6,6082
2016-1,2016 Gasolina,6,6083
2015-1,2015 Gasolina,6,6083
2014-1,2014 Gasolina,6,6083
2013-1,2013 Gasolina,6,6083
2012-1,2012 Gasolina,6,6083
2016-1,2016 Gasolina,6,6084
2015-1,2015 Gasolina,6,6084
2014-1,2014 Gasolina,6,6084
2013-1,2013 Gasolina,6,6084
2012-1,2012 Gasolina,6,6084
32000-1,32000 Gasolina,6,10652
2023-1,2023 Gasolina,6,10652
2019-1,2019 Gasolina,6,8564
2019-1,2019 Gasolina,6,8565
2022-1,2022 Gasolina,6,8566
2021-1,2021 Gasolina,6,8566
2019-1,2019 Gasolina,6,8566
2022-1,2022 Gasolina,6,8567
2021-1,2021 Gasolina,6,8567
2019-1,2019 Gasolina,6,8567
2017-1,2017 Gasolina,6,7022
2016-1,2016 Gasolina,6,7022
2015-1,2015 Gasolina,6,7022
2014-1,2014 Gasolina,6,6043
2013-1,2013 Gasolina,6,6043
2012-1,2012 Gasolina,6,6043
2011-1,2011 Gasolina,6,5234
2010-1,2010 Gasolina,6,5234
32000-1,32000 Gasolina,6,8772
