code_modelo,name,code_marcas
3955,325iA Touring,7
184,328i Exclusive 2.8 24V,7
185,328i Touring/Sport,7
186,328i/iA (modelo antigo),7
187,328i/iA (novo modelo),7
188,328i/iA Cabrio,7
6046,328iA 2.0 TB/2.0 TB Flex 16V 4p,7
189,328iA Exclusive 2.8 24V,7
6633,328iA GT M Sport 2.0 Turbo 16V 245cv 5p,7
6047,328iA Luxury/Modern 2.0 TB 16V 4p,7
7303,328iA M Sport 2.0 16V Flex 4p,7
6048,328iA Plus 2.0 TB 16V 245cv 4p,7
6049,328iA Sport 2.0 16V/2.0 16V Flex 4p,7
190,328iA Touring/Sport,7
191,330Ci Cabriolet,7
192,330CiA Cabriolet,7
9956,330e M Sport 2.0 Turbo Aut. (Híbrido),7
8630,330i M Sport 2.0 TB 16V 4p,7
193,330i MotorSport 3.0 24V 4p,7
8688,330i Sport 2.0 TB 16V 4p,7
3956,330iA Exclusive 3.0 24V 4p,7
194,330iA MotorSport 4p,7
195,330iA Top 4p,7
9957,335i 3.0 Active 3 (Híbrido),7
4272,335iA 3.0 24V 306cv,7
4416,335iA Cabriolet 3.0 24V 306cv,7
6513,335iA M Sport 3.0 24V 306cv 4p,7
6148,335iA Sport 3.0 24V 306cv 4p,7
9785,420i Cabriolet M Sport 2.0 TB 16V 2p.,7
7083,420i Cabriolet Sport 2.0 TB 184cv 2p,7
6952,428i Cabriolet Sport 2.0 TB 245cv 2p,7
7084,428i Gran Coupe M Sport 2.0 TB 245cv,7
7085,428i Gran Coupe Sport 2.0 TB 245cv,7
7728,430i Cab. Sport Limited Ed.2.0 TB 2p,7
9442,430i Cabriolet M Sport 2.0 TB 258cv 2p,7
7875,430i Cabriolet Sport 2.0 TB 252cv 2p,7
7729,430i Gran Coupé M Sport TB 5p,7
6691,435iA M Sport Coupe 3.0 24V 306cv 2p,7
196,520i 2.0 16V,7
197,525i/iA,7
198,525i/iA Touring,7
199,528i/iA,7
6149,528iA 2.0 Turbo 16V 245cv 4p,7
200,528iA High,7
6514,528iA M Sport 2.0 Turbo 16V 245cv 4p,7
201,528iA Touring,7
9959,530e Luxury 2.0 Turbo (Híbrido),7
9960,530e M Sport 2.0 Turbo Aut. (Híbrido),7
7918,530i M Sport 2.0 Turbo 252cv Aut.,7
8816,530i Security,7
202,530i/iA,7
203,530i/iA Touring,7
204,535i/iA 3.5 24V,7
5267,535iA 3.0 24V 306cv Bi-Turbo,7
5292,535iA GT 3.0 306cv Bi-Turbo,7
6415,535iA M Sport 3.0 24V 306cv Bi-Turbo,7
205,540i,7
7919,540i M Sport 3.0 Turbo 340cv Aut.,7
206,540i/iA Touring,7
207,540iA,7
208,540iA MotorSport,7
209,540iA Protection,7
210,540iTA,7
211,545iA 4.4 32V V8 333cv,7
5268,550iA 4.4 32V 407cv Bi-Turbo,7
3880,550iA 4.8 32V,7
4995,550iA Limited Sport Edition 4.8 32V,7
4432,550iA Security 4.8 32V,7
6378,640i Gran Coupe 3.0 320cv 4p,7
3929,645Ci Cabriolet 4.4 V8 32V 333cv,7
212,645iA 4.4 V8 32V 333cv,7
5718,650Ci Cabriolet 4.4 407cv Bi-Turbo,7
4126,650Ci Cabriolet 4.8 V8 32V 360cv,7
6634,650i Gran Coupe 4.4 V8 450cv 4p,7
6150,650iA 4.4 407cv Bi-Turbo,7
4125,650iA 4.8 V8 32V 360cv,7
5057,650iA Limited Sport  Edition 4.8 32V,7
213,730i 3.0 32V,7
214,730iA 3.0 32V,7
215,735i/iA 3.5 32V,7
216,740i,7
217,740iA,7
218,740iL/iLA Highline 4.4 32V,7
